,summary,Weinlese,Wohnen,Auto,Hochwasser,Ski,word
vorstellen,4.031062555195661,-0.4133909098604577,-0.337909963214394,0.7054128406014679,-0.552362896930484,-0.8161445966838072,vorstellen
autobahn vorstell,4.031062555195661,-0.4133909098604577,-0.337909963214394,0.7054128406014679,-0.552362896930484,-0.8161445966838072,autobahn vorstell
könnten,5.042271535039134,-0.2132989465434047,-0.5617366426140343,0.2943908558301428,0.17409230751938976,-0.28533469657601784,könnten
vorstell könn,3.5926829203080373,-0.2982601622646689,-0.22277921561860528,0.6333482828255717,-0.43723214933469545,-0.7010138490880187,vorstell könn
nan,14.633200564784353,-1.70265386566582,-1.6271729190197564,-0.1329660330355857,1.0069596087766144,-0.3164728949573918,nan
Wie,10.328266825310312,-0.9681513437376075,-1.2787644490185797,0.4540529978589245,-1.0358133463590449,0.0728505719563064,Wie
energiekrise wie,2.7784995810838,-0.04127197028273035,0.0342089763633333,0.40851944802073237,-0.18024395735275686,-0.44402565710608005,energiekrise wie
Aluminiumproduzent,2.8001348879910037,-0.04902849761885071,0.02645244902721312,0.4170781566749904,-0.1880004846888771,-0.45178218444220036,Aluminiumproduzent
wie aluminiumproduzent,2.8001348879910037,-0.04902849761885071,0.02645244902721312,0.4170781566749904,-0.1880004846888771,-0.45178218444220036,wie aluminiumproduzent
Gas,3.8969875906846263,-0.37956474934181905,-0.3040838026957553,0.6856136926390618,-0.5185367364118453,-0.7823184361651687,Gas
aluminiumproduzent gas,2.86073342993419,-0.0704389433040789,0.00504200334198488,0.4399972171985953,-0.2094109303741053,-0.4731926301274285,aluminiumproduzent gas
sparen,18.39093717624687,-1.9312189058212625,-0.30863282235381995,-0.07720628934741267,-2.070190892891289,0.5397328146420408,sparen
gas spar,2.875546770831553,-0.07560374464150549,-0.00012279799544178194,0.4453763254376277,-0.21457573171153171,-0.478357431464855,gas spar
spar der,2.9349103660341527,-0.09603782044752915,-0.020556873801465318,0.46611501652581344,-0.23500980751755546,-0.4987915072708787,spar der
Aluminiumgießerei,3.0223980717947256,-0.12541148710886865,-0.049930540462805026,0.49448804467550006,-0.2643834741788952,-0.5281651739322183,Aluminiumgießerei
die aluminiumgießerei,3.0223980717947256,-0.12541148710886865,-0.049930540462805026,0.49448804467550006,-0.2643834741788952,-0.5281651739322183,die aluminiumgießerei
Röders,3.1630163270938785,-0.1708870135270448,-0.0954060668809812,0.5353615069285032,-0.3098590005970712,-0.5736407003503945,Röders
aluminiumgießerei röder,3.1630163270938785,-0.1708870135270448,-0.0954060668809812,0.5353615069285032,-0.3098590005970712,-0.5736407003503945,aluminiumgießerei röder
wichtiger,3.288714350981643,-0.20985762094283872,-0.13437667429677502,0.5677328004635627,-0.348829608012865,-0.6126113077661882,wichtiger
röder wichtig,3.288714350981643,-0.20985762094283872,-0.13437667429677502,0.5677328004635627,-0.348829608012865,-0.6126113077661882,röder wichtig
Zulieferer,5.2746338740615935,-0.6822701765079994,-0.6067892298619356,0.8314661780516992,-0.8212421635780256,-1.085023863331349,Zulieferer
wichtig zulieferer,3.453102685792554,-0.25863406341981104,-0.18315311677374743,0.6051806677112122,-0.3976060504898374,-0.6613877502431608,wichtig zulieferer
deutsche,10.968022147112674,-1.4143448688215647,-1.338863922175501,0.7654940225094694,-1.553316855891591,-0.38262914348485616,deutsche
zulieferer deutsch,4.163780307069736,-0.4457842966066876,-0.370303349960624,0.723412421135641,-0.584756283676714,-0.8485379834300374,zulieferer deutsch
Autoindustrie,31.497031248113753,-2.4692542026140534,-2.3937732559679894,1.108802951771187,-2.6082261896840793,-2.872007889437403,Autoindustrie
deutsch autoindustrie,8.773917212662084,-1.1911442744853045,-1.1156633278392407,0.973928991164183,-1.3301162615553308,-1.5938979613086541,deutsch autoindustrie
Doch,12.988695055709043,-0.03051767189453849,-1.5079593287006212,0.4637412310273838,-1.7224122624167113,-0.01318528235055252,Doch
Gaspreise,5.111162482995671,-0.6507877774387912,-0.5753068307927275,0.8191118089545997,-0.7897597645088176,-1.053541464262141,Gaspreise
